,监测点,AQI,质量等级,PM2.5浓度(1小时),主要污染物
3,世纪星幼儿园,84,良,27,颗粒物（PM10）
4,龙亭公园,83,良,19,颗粒物（PM10）
5,龙亭公园(启用180109),0,优,146,颗粒物（PM10）
6,汴京公园(20190322启用),0,优,154,颗粒物（PM10）
7,汴京公园,73,良,32,颗粒物（PM10）
0,昆山实验小学,52,良,23,颗粒物（PM10）
1,震川中学,53,良,25,颗粒物（PM10）
0,长征新村,31,优,10,颗粒物（PM10）
1,南林小区,29,优,4,颗粒物（PM10）
2,白碱滩区,52,良,6,颗粒物（PM10）
3,独山子区,38,优,7,颗粒物（PM10）
4,乌尔禾区商贸楼,0,优,--,颗粒物（PM10）
0,关上,0,优,--,颗粒物（PM10）
1,呈贡新区,31,优,17,颗粒物（PM10）
2,西山森林公园,26,优,18,颗粒物（PM10）
3,龙泉镇,33,优,11,颗粒物（PM10）
4,东风东路,33,优,12,颗粒物（PM10）
5,金鼎山,39,优,8,颗粒物（PM10）
6,碧鸡广场,0,优,21,颗粒物（PM10）
7,西山森林公园(对照点),0,优,14,颗粒物（PM10）
8,官渡区博物馆（180930启用）,64,良,27,颗粒物（PM10）
9,官渡区博物馆,32,优,6,颗粒物（PM10）
0,孔雀公园,57,良,12,颗粒物（PM10）
1,棉纺厂,48,优,26,颗粒物（PM10）
2,经济开发区,46,优,6,颗粒物（PM10）
0,监测大楼,52,良,6,颗粒物（PM10）
1,皖西学院,61,良,19,颗粒物（PM10）
2,朝阳厂,57,良,11,颗粒物（PM10）
3,开发区,47,优,21,颗粒物（PM10）
0,宏伟区,34,优,2,颗粒物（PM10）
1,新华园,30,优,6,颗粒物（PM10）
2,滨河路,34,优,4,颗粒物（PM10）
3,铁西工业园,31,优,7,颗粒物（PM10）
0,市环境监测站,114,轻度污染,36,颗粒物（PM10）
1,洪门派出所,0,优,--,颗粒物（PM10）
2,墟沟核电专家村,20,优,11,颗粒物（PM10）
3,开发区恒瑞医药公司,0,优,--,颗粒物（PM10）
4,胡沟管理处,97,良,37,颗粒物（PM10）
5,矿山设计院,114,轻度污染,25,颗粒物（PM10）
6,德源药业(直管站),134,轻度污染,38,颗粒物（PM10）
0,沂河小区,111,轻度污染,30,颗粒物（PM10）
1,鲁南制药厂,118,轻度污染,30,颗粒物（PM10）
2,新光毛纺厂,113,轻度污染,33,颗粒物（PM10）
3,河东保险公司,114,轻度污染,27,颗粒物（PM10）
0,西南郊,29,优,14,颗粒物（PM10）
1,丽江古城,28,优,10,颗粒物（PM10）
2,市中心,29,优,11,颗粒物（PM10）
0,龙岩师专,22,优,6,颗粒物（PM10）
1,龙岩市监测站,25,优,4,颗粒物（PM10）
2,闽西职业技术学院,25,优,7,颗粒物（PM10）
3,龙岩学院,24,优,4,颗粒物（PM10）
0,职工医院,0,优,--,颗粒物（PM10）
1,兰炼宾馆,44,优,21,颗粒物（PM10）
2,榆中兰大校区,52,良,17,颗粒物（PM10）
3,生物制品所,54,良,12,颗粒物（PM10）
4,铁路设计院,38,优,12,颗粒物（PM10）
5,榆中兰大校区(对照点),80,良,15,颗粒物（PM10）
6,教育港（20181115启用）,95,良,71,颗粒物（PM10）
7,教育港,43,优,20,颗粒物（PM10）
0,环保局,36,优,6,颗粒物（PM10）
1,州委党校,37,优,7,颗粒物（PM10）
0,柳东小学,32,优,20,颗粒物（PM10）
1,环保监测站,31,优,--,颗粒物（PM10）
2,河西水厂,26,优,16,颗粒物（PM10）
3,市四中,38,优,16,颗粒物（PM10）
4,市九中,31,优,17,颗粒物（PM10）
5,古亭山,27,优,14,颗粒物（PM10）
0,市政府,0,优,--,颗粒物（PM10）
1,四中,24,优,9,颗粒物（PM10）
0,监测站大楼,15,优,10,颗粒物（PM10）
1,莲都小学,15,优,8,颗粒物（PM10）
2,余庄前,15,优,7,颗粒物（PM10）
0,八廓街,46,优,24,颗粒物（PM10）
1,市环保局,40,优,11,颗粒物（PM10）
2,区监测站,50,优,--,颗粒物（PM10）
3,西藏大学,45,优,12,颗粒物（PM10）
4,区辐射站,43,优,11,颗粒物（PM10）
5,拉萨火车站,49,优,8,颗粒物（PM10）
0,中信二小,88,良,35,颗粒物（PM10）
1,市委党校,68,良,18,颗粒物（PM10）
2,市监测站,0,优,--,颗粒物（PM10）
3,豫西宾馆,71,良,30,颗粒物（PM10）
4,河南林校,78,良,15,颗粒物（PM10）
5,开发区管委会,70,良,16,颗粒物（PM10）
6,市委新办公区,62,良,14,颗粒物（PM10）
7,凯旋路小学,75,良,13,颗粒物（PM10）
0,湖东路四小,44,优,9,颗粒物（PM10）
1,天平服装,46,优,13,颗粒物（PM10）
2,慈湖二小,40,优,10,颗粒物（PM10）
3,马钢动力厂,38,优,10,颗粒物（PM10）
4,市教育基地,37,优,9,颗粒物（PM10）
0,嘉应大学,52,良,10,颗粒物（PM10）
1,梅县新城,21,优,14,颗粒物（PM10）
2,环境监控中心,33,优,4,颗粒物（PM10）
0,市环保局茂港分局,15,优,7,颗粒物（PM10）
